AL FL 12
AL GA 2
AL MS 3
AL TN 5
FL GA 4
GA NC 0
GA SC 14
GA TN 9
MS AR 7
MS LA 12
MS TN 13
TN AR 10
TN KY 3
TN MO 8
TN NC 2
TN VA 5
AR LA 7
AR MO 12
AR OK 6
AR TX 3
LA TX 14
MO IA 6
MO IL 2
MO KS 1
MO KY 7
MO NE 11
MO OK 6
OK CO 2
OK KS 5
OK NM 7
OK TX 13
TX NM 12
AZ CA 12
AZ NM 9
AZ NV 3
AZ UT 11
CA NV 1
CA OR 6
NM CO 13
NV ID 4
NV OR 10
NV UT 13
UT CO 13
UT ID 11
UT WY 1
OR ID 14
OR WA 2
CO KS 14
CO NE 2
CO WY 5
KS NE 3
NE IA 12
NE SD 0
NE WY 10
WY ID 11
WY MT 5
WY SD 8
CT MA 3
CT NY 9
CT RI 12
MA NH 0
MA NY 12
MA RI 10
MA VT 8
NY NJ 6
NY PA 0
NY VT 9
DC MD 8
DC VA 12
MD DE 2
MD PA 3
MD VA 9
MD WV 7
VA KY 8
VA NC 14
VA WV 2
DE NJ 4
DE PA 14
NJ PA 10
PA OH 13
PA WV 12
NC SC 0
IA IL 4
IA MN 13
IA SD 4
IA WI 11
IL IN 13
IL KY 6
IL WI 3
MN ND 3
MN SD 6
MN WI 9
SD MT 9
SD ND 9
WI MI 3
ID MT 6
ID WA 3
MT ND 3
IN KY 9
IN MI 14
IN OH 6
KY OH 5
KY WV 1
MI OH 0
OH WV 6
NH ME 1
NH VT 5
